GPGGA,utc时间:01时33分19秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1138

 GPRMC,utc时间:01时33分20秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分20秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1137

 GPRMC,utc时间:01时33分21秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分21秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1137

 GPRMC,utc时间:01时33分22秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分22秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1136

 GPRMC,utc时间:01时33分23秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分23秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1135

 GPRMC,utc时间:01时33分24秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分24秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1135

 GPRMC,utc时间:01时33分25秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分25秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1132

 GPRMC,utc时间:01时33分26秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分26秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1128

 GPRMC,utc时间:01时33分27秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分27秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1122

 GPRMC,utc时间:01时33分28秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分28秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1119

 GPRMC,utc时间:01时33分29秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分29秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1115

 GPRMC,utc时间:01时33分30秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分30秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1113

 GPRMC,utc时间:01时33分31秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分31秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1101

 GPRMC,utc时间:01时33分32秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分32秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1092

 GPRMC,utc时间:01时33分33秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分33秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1071

 GPRMC,utc时间:01时33分34秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分34秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1063

 GPRMC,utc时间:01时33分35秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分35秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1062

 GPRMC,utc时间:01时33分36秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分36秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1061

 GPRMC,utc时间:01时33分37秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分37秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1060

 GPRMC,utc时间:01时33分38秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分38秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1060

 GPRMC,utc时间:01时33分39秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分39秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1059

 GPRMC,utc时间:01时33分40秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分40秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时33分41秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分41秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时33分42秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分42秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时33分43秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分43秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时33分44秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分44秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时33分45秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分45秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时33分46秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分46秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时33分47秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分47秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时33分48秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分48秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时33分49秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分49秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时33分50秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分50秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时33分51秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分51秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时33分52秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分52秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

